date,country,D,H,I,M,S
2021-10-26,Japan,26,0,0,95,0
2021-10-26,Sweden,1,0,0,8,0
2021-10-27,Afghanistan,1,0,1,35,0
2021-10-27,Japan,26,0,0,95,0
2021-10-27,Sweden,1,0,0,8,0
2021-10-28,Afghanistan,1,0,1,35,0
2021-10-28,Japan,26,0,0,95,0
2021-10-28,Sweden,1,0,0,8,0
2021-10-29,Afghanistan,1,0,1,35,0
2021-10-29,Japan,26,0,0,95,0
2021-10-29,Sweden,1,0,0,8,0
2021-10-30,Afghanistan,1,0,0,35,1
2021-10-30,Japan,26,0,0,95,0
2021-10-30,Sweden,1,0,0,8,0
2021-10-31,Afghanistan,1,0,0,35,1
2021-10-31,Japan,26,0,0,95,0
2021-10-31,Sweden,1,0,0,8,0
2021-11-01,Afghanistan,1,0,0,35,1
2021-11-01,Japan,26,0,0,95,0
2021-11-01,Sweden,1,0,0,8,0
2021-11-02,Afghanistan,1,0,0,35,1
2021-11-02,Japan,26,0,0,95,0
2021-11-02,Sweden,1,0,0,8,0
2021-11-03,Afghanistan,1,0,0,35,1
2021-11-03,Japan,26,0,0,95,0
2021-11-03,Sweden,1,0,0,8,0
2021-11-04,Afghanistan,1,0,0,35,1
2021-11-04,Japan,26,0,0,95,0
2021-11-04,Sweden,1,0,0,8,0
2021-11-05,Afghanistan,1,0,0,35,1
2021-11-05,Japan,26,0,0,95,0
2021-11-05,Sweden,1,0,0,8,0
2021-11-06,Afghanistan,1,0,0,35,1
2021-11-06,Japan,26,0,0,95,0
2021-11-06,Sweden,1,0,0,8,0
2021-11-07,Afghanistan,1,0,0,35,1
2021-11-07,Japan,26,0,0,95,0
2021-11-07,Sweden,1,0,0,8,0
2021-11-08,Afghanistan,1,0,0,35,1
2021-11-08,Japan,26,0,0,95,0
2021-11-08,Sweden,1,0,0,8,0
2021-11-09,Afghanistan,1,0,0,35,1
2021-11-09,Japan,26,0,0,95,0
2021-11-09,Sweden,1,0,0,8,0
2021-11-10,Afghanistan,1,0,0,35,1
2021-11-10,Japan,26,0,0,95,0
2021-11-10,Sweden,1,0,0,8,0
2021-11-11,Afghanistan,1,0,0,35,1
2021-11-11,Japan,26,0,0,95,0
2021-11-11,Sweden,1,0,0,8,0
2021-11-12,Afghanistan,1,0,0,35,1
2021-11-12,Japan,26,0,0,95,0
2021-11-12,Sweden,1,0,0,8,0
2021-11-13,Afghanistan,1,0,0,36,0
2021-11-13,Japan,26,0,0,95,0
2021-11-13,Sweden,1,0,0,8,0
2021-11-14,Afghanistan,1,0,0,36,0
2021-11-14,Japan,26,0,0,95,0
2021-11-14,Sweden,1,0,0,8,0
2021-11-15,Afghanistan,1,0,0,36,0
2021-11-15,Japan,26,0,0,95,0
2021-11-15,Sweden,1,0,0,8,0
2021-11-16,Afghanistan,1,0,0,36,0
2021-11-16,Japan,26,0,0,95,0
2021-11-16,Sweden,1,0,0,8,0
2021-11-17,Afghanistan,1,0,0,36,0
2021-11-17,Japan,26,0,0,95,0
2021-11-17,Sweden,1,0,0,8,0
2021-11-18,Afghanistan,1,0,0,36,0
2021-11-18,Japan,26,0,0,95,0
2021-11-18,Sweden,1,0,0,8,0
2021-11-19,Afghanistan,1,0,0,36,0
2021-11-19,Japan,26,0,0,95,0
2021-11-19,Sweden,1,0,0,8,0
2021-11-20,Afghanistan,1,0,0,36,0
2021-11-20,Japan,26,0,0,95,0
2021-11-20,Sweden,1,0,0,8,0
2021-11-21,Afghanistan,1,0,0,36,0
2021-11-21,Japan,26,0,0,95,0
2021-11-21,Sweden,1,0,0,8,0
2021-11-22,Afghanistan,1,0,0,36,0
2021-11-22,Japan,26,0,0,95,0
2021-11-22,Sweden,1,0,0,8,0
2021-11-23,Afghanistan,1,0,0,36,0
2021-11-23,Japan,26,0,0,95,0
2021-11-23,Sweden,1,0,0,8,0
2021-11-24,Afghanistan,1,0,0,36,0
2021-11-24,Japan,26,0,0,95,0
2021-11-24,Sweden,1,0,0,8,0
2021-11-25,Afghanistan,1,0,0,36,0
2021-11-25,Japan,26,0,0,95,0
2021-11-25,Sweden,1,0,0,8,0
2021-11-26,Afghanistan,1,0,0,36,0
2021-11-26,Japan,26,0,0,95,0
2021-11-26,Sweden,1,0,0,8,0
2021-11-27,Afghanistan,1,0,0,36,0
2021-11-27,Japan,26,0,0,95,0
2021-11-27,Sweden,1,0,0,8,0
2021-11-28,Afghanistan,1,0,0,36,0
2021-11-28,Japan,26,0,0,95,0
2021-11-28,Sweden,1,0,0,8,0
2021-11-29,Afghanistan,1,0,0,36,0
2021-11-29,Japan,26,0,0,95,0
2021-11-29,Sweden,1,0,0,8,0
2021-11-30,Afghanistan,1,0,0,36,0
2021-11-30,Japan,26,0,0,95,0
2021-11-30,Sweden,1,0,0,8,0
2021-12-01,Afghanistan,1,0,0,36,0
2021-12-01,Japan,26,0,0,95,0
2021-12-01,Sweden,1,0,0,8,0
2021-12-02,Afghanistan,1,0,0,36,0
2021-12-02,Japan,26,0,0,95,0
2021-12-02,Sweden,1,0,0,8,0
2021-12-03,Afghanistan,1,0,0,36,0
2021-12-03,Japan,26,0,0,95,0
2021-12-03,Sweden,1,0,0,8,0
2021-12-04,Afghanistan,1,0,0,36,0
2021-12-04,Japan,26,0,0,95,0
2021-12-04,Sweden,1,0,0,8,0
2021-12-05,Afghanistan,1,0,0,36,0
2021-12-05,Japan,26,0,0,95,0
2021-12-05,Sweden,1,0,0,8,0
2021-12-06,Afghanistan,1,0,0,36,0
2021-12-06,Japan,26,0,0,95,0
2021-12-06,Sweden,1,0,0,8,0
2021-12-07,Afghanistan,1,2,0,34,0
2021-12-07,Japan,26,2,0,93,0
2021-12-07,Sweden,1,1,0,7,0
2021-12-08,Afghanistan,1,2,1,33,0
2021-12-08,Japan,26,1,1,93,0
2021-12-08,Sweden,1,1,0,7,0
2021-12-09,Afghanistan,1,1,3,32,0
2021-12-09,Japan,26,8,1,86,0
2021-12-09,Sweden,1,1,1,6,0
2021-12-10,Afghanistan,1,0,4,32,0
2021-12-10,Japan,26,11,2,82,0
2021-12-10,Sweden,1,1,1,6,0
2021-12-11,Afghanistan,1,1,4,31,0
2021-12-11,Japan,26,11,3,81,0
2021-12-11,Sweden,1,1,1,6,0
2021-12-12,Afghanistan,1,2,3,31,0
2021-12-12,Japan,26,12,5,78,0
2021-12-12,Sweden,1,1,1,6,0
2021-12-13,Afghanistan,1,2,2,31,1
2021-12-13,Japan,26,11,7,77,0
2021-12-13,Sweden,1,1,0,6,1
2021-12-14,Afghanistan,1,2,1,31,2
2021-12-14,Japan,26,9,9,76,1
2021-12-14,Sweden,1,1,0,6,1
2021-12-15,Afghanistan,1,2,1,31,2
2021-12-15,Japan,26,6,12,75,2
2021-12-15,Sweden,1,1,1,5,1
2021-12-16,Afghanistan,1,3,2,29,2
2021-12-16,Japan,26,5,10,76,4
2021-12-16,Sweden,1,1,1,5,1
2021-12-17,Afghanistan,1,3,1,30,2
2021-12-17,Japan,26,4,10,77,4
2021-12-17,Sweden,1,1,1,5,1
2021-12-18,Afghanistan,1,2,2,30,2
2021-12-18,Japan,26,2,9,78,6
2021-12-18,Sweden,1,1,1,5,1
2021-12-19,Afghanistan,1,2,2,30,2
2021-12-19,Japan,26,3,5,79,8
2021-12-19,Sweden,1,1,0,5,2
2021-12-20,Afghanistan,1,2,2,29,3
2021-12-20,Japan,26,3,4,80,8
2021-12-20,Sweden,1,0,1,5,2
2021-12-21,Afghanistan,1,4,2,27,3
2021-12-21,Japan,26,5,2,78,10
2021-12-21,Sweden,1,0,1,5,2
2021-12-22,Afghanistan,1,4,2,26,4
2021-12-22,Japan,26,12,1,72,10
2021-12-22,Sweden,1,0,1,5,2
2021-12-23,Afghanistan,1,5,2,25,4
2021-12-23,Japan,26,12,4,69,10
2021-12-23,Sweden,1,0,1,5,2
2021-12-24,Afghanistan,1,5,1,25,5
2021-12-24,Japan,26,13,9,63,10
2021-12-24,Sweden,1,1,0,5,2
2021-12-25,Afghanistan,1,7,1,23,5
2021-12-25,Japan,26,15,11,59,10
2021-12-25,Sweden,1,1,0,5,2
2021-12-26,Afghanistan,1,5,3,23,5
2021-12-26,Japan,26,16,13,56,10
2021-12-26,Sweden,1,1,0,5,2
2021-12-27,Afghanistan,1,4,4,24,4
2021-12-27,Japan,26,18,14,51,12
2021-12-27,Sweden,1,1,0,6,1
2021-12-28,Afghanistan,1,3,6,24,3
2021-12-28,Japan,27,16,12,51,15
2021-12-28,Sweden,1,1,1,5,1
2021-12-29,Afghanistan,1,3,6,24,3
2021-12-29,Japan,27,15,12,51,16
2021-12-29,Sweden,1,1,2,4,1
2021-12-30,Afghanistan,1,5,3,23,5
2021-12-30,Japan,27,12,14,52,16
2021-12-30,Sweden,1,2,2,3,1
2021-12-31,Afghanistan,1,4,3,24,5
2021-12-31,Japan,27,12,13,51,18
2021-12-31,Sweden,1,2,2,3,1
2022-01-01,Afghanistan,1,4,1,25,6
2022-01-01,Japan,27,10,15,53,16
2022-01-01,Sweden,1,1,2,3,2
2022-01-02,Afghanistan,1,4,1,25,6
2022-01-02,Japan,27,9,15,56,14
2022-01-02,Sweden,1,0,2,4,2
2022-01-03,Afghanistan,2,4,1,25,5
2022-01-03,Japan,27,7,13,59,15
2022-01-03,Sweden,1,0,2,4,2
2022-01-04,Afghanistan,2,7,0,23,5
2022-01-04,Japan,27,7,11,61,15
2022-01-04,Sweden,1,0,2,4,2
2022-01-05,Afghanistan,2,7,1,23,4
2022-01-05,Japan,27,9,8,60,17
2022-01-05,Sweden,1,0,1,5,2
2022-01-06,Afghanistan,2,7,1,23,4
2022-01-06,Japan,27,11,7,58,18
2022-01-06,Sweden,1,0,0,5,3
2022-01-07,Afghanistan,3,8,4,19,3
2022-01-07,Japan,27,11,9,55,19
2022-01-07,Sweden,1,0,0,5,3
2022-01-08,Afghanistan,3,9,5,17,3
2022-01-08,Japan,27,12,9,54,19
2022-01-08,Sweden,1,0,0,5,3
2022-01-09,Afghanistan,3,8,6,17,3
2022-01-09,Japan,27,10,9,56,19
2022-01-09,Sweden,1,0,0,5,3
2022-01-10,Afghanistan,3,8,6,17,3
2022-01-10,Japan,27,11,9,57,17
2022-01-10,Sweden,1,0,0,5,3
2022-01-11,Afghanistan,3,7,4,19,4
2022-01-11,Japan,28,6,9,60,18
2022-01-11,Sweden,1,0,0,5,3
2022-01-12,Afghanistan,3,5,5,19,5
2022-01-12,Japan,28,7,8,62,16
2022-01-12,Sweden,1,0,0,5,3
2022-01-13,Afghanistan,3,5,4,21,4
2022-01-13,Japan,30,6,8,61,16
2022-01-13,Sweden,1,0,0,5,3
2022-01-14,Afghanistan,3,6,4,20,4
2022-01-14,Japan,31,5,8,63,14
2022-01-14,Sweden,1,0,0,5,3
2022-01-15,Afghanistan,3,6,3,21,4
2022-01-15,Japan,31,5,4,66,15
2022-01-15,Sweden,1,0,0,6,2
2022-01-16,Afghanistan,3,6,1,21,6
2022-01-16,Japan,31,4,5,66,15
2022-01-16,Sweden,1,0,0,7,1
2022-01-17,Afghanistan,3,6,0,22,6
2022-01-17,Japan,31,4,3,68,15
2022-01-17,Sweden,1,0,0,7,1
2022-01-18,Afghanistan,3,7,0,21,6
2022-01-18,Japan,31,3,3,70,14
2022-01-18,Sweden,1,1,0,6,1
2022-01-19,Afghanistan,3,6,1,21,6
2022-01-19,Japan,31,2,3,72,13
2022-01-19,Sweden,1,1,0,6,1
2022-01-20,Afghanistan,3,5,2,21,6
2022-01-20,Japan,31,2,2,73,13
2022-01-20,Sweden,1,1,0,7,0
2022-01-21,Afghanistan,3,4,3,21,6
2022-01-21,Japan,31,3,2,73,12
2022-01-21,Sweden,1,1,0,7,0
2022-01-22,Afghanistan,3,4,3,21,6
2022-01-22,Japan,31,5,1,71,13
2022-01-22,Sweden,1,1,0,7,0
2022-01-23,Afghanistan,3,4,2,21,7
2022-01-23,Japan,31,2,4,71,13
2022-01-23,Sweden,1,1,0,7,0
2022-01-24,Afghanistan,3,4,1,22,7
2022-01-24,Japan,31,1,5,71,13
2022-01-24,Sweden,1,1,0,7,0
2022-01-25,Afghanistan,3,4,0,24,6
2022-01-25,Japan,34,1,5,73,8
2022-01-25,Sweden,1,1,0,7,0
2022-01-26,Afghanistan,3,2,2,25,5
2022-01-26,Japan,34,2,5,72,8
2022-01-26,Sweden,1,1,0,7,0
2022-01-27,Afghanistan,3,2,2,26,4
2022-01-27,Japan,35,1,2,74,9
2022-01-27,Sweden,1,1,0,7,0
2022-01-28,Afghanistan,3,2,2,26,4
2022-01-28,Japan,35,0,2,74,10
2022-01-28,Sweden,1,0,1,7,0
2022-01-29,Afghanistan,3,3,2,26,3
2022-01-29,Japan,36,1,2,73,9
2022-01-29,Sweden,1,0,1,7,0
2022-01-30,Afghanistan,3,3,0,28,3
2022-01-30,Japan,36,1,2,73,9
2022-01-30,Sweden,1,0,1,7,0
2022-01-31,Afghanistan,3,2,1,28,3
2022-01-31,Japan,36,0,2,75,8
2022-01-31,Sweden,1,0,1,7,0
2022-02-01,Afghanistan,3,2,1,28,3
2022-02-01,Japan,36,0,1,76,8
2022-02-01,Sweden,1,0,0,7,1
2022-02-02,Afghanistan,3,2,1,28,3
2022-02-02,Japan,36,0,1,77,7
2022-02-02,Sweden,1,0,0,7,1
2022-02-03,Afghanistan,3,2,1,28,3
2022-02-03,Japan,36,0,1,78,6
2022-02-03,Sweden,1,0,0,7,1
2022-02-04,Afghanistan,3,2,0,29,3
2022-02-04,Japan,36,0,0,78,7
2022-02-04,Sweden,1,0,0,7,1
2022-02-05,Afghanistan,3,2,0,29,3
2022-02-05,Japan,36,0,0,79,6
2022-02-05,Sweden,1,0,0,7,1
2022-02-06,Afghanistan,3,2,0,30,2
2022-02-06,Japan,36,0,0,79,6
2022-02-06,Sweden,1,0,0,7,1
2022-02-07,Afghanistan,3,2,0,30,2
2022-02-07,Japan,36,0,0,79,6
2022-02-07,Sweden,1,0,0,7,1
2022-02-08,Afghanistan,3,2,0,30,2
2022-02-08,Japan,36,0,0,79,6
2022-02-08,Sweden,1,0,0,7,1
2022-02-09,Afghanistan,3,2,0,30,2
2022-02-09,Japan,36,0,0,79,6
2022-02-09,Sweden,1,0,0,7,1
2022-02-10,Afghanistan,3,2,0,30,2
2022-02-10,Japan,36,0,0,82,3
2022-02-10,Sweden,1,0,0,7,1
2022-02-11,Afghanistan,3,2,0,30,2
2022-02-11,Japan,36,0,0,83,2
2022-02-11,Sweden,1,0,0,7,1
2022-02-12,Afghanistan,3,2,0,30,2
2022-02-12,Japan,36,0,0,83,2
2022-02-12,Sweden,1,0,0,7,1
2022-02-13,Afghanistan,3,2,0,32,0
2022-02-13,Japan,36,1,0,82,2
2022-02-13,Sweden,1,0,0,7,1
2022-02-14,Afghanistan,3,2,0,32,0
2022-02-14,Japan,36,1,0,82,2
2022-02-14,Sweden,1,0,0,7,1
2022-02-15,Afghanistan,3,2,0,32,0
2022-02-15,Japan,36,1,0,83,1
2022-02-15,Sweden,1,0,0,8,0
2022-02-16,Afghanistan,3,1,1,32,0
2022-02-16,Japan,36,1,0,83,1
2022-02-16,Sweden,1,0,0,8,0
2022-02-17,Afghanistan,3,1,1,32,0
2022-02-17,Japan,36,0,1,83,1
2022-02-17,Sweden,1,0,0,8,0
2022-02-18,Afghanistan,3,1,1,32,0
2022-02-18,Japan,36,0,1,84,0
2022-02-18,Sweden,1,0,0,8,0
2022-02-19,Afghanistan,3,0,2,32,0
2022-02-19,Japan,36,0,1,84,0
2022-02-19,Sweden,1,0,0,8,0
2022-02-20,Afghanistan,3,0,1,33,0
2022-02-20,Japan,36,0,1,84,0
2022-02-20,Sweden,1,0,0,8,0
2022-02-21,Afghanistan,3,0,1,33,0
2022-02-21,Japan,36,0,0,84,1
2022-02-21,Sweden,1,0,0,8,0
2022-02-22,Afghanistan,3,0,1,33,0
2022-02-22,Japan,36,0,0,84,1
2022-02-22,Sweden,1,0,0,8,0
2022-02-23,Afghanistan,3,0,0,34,0
2022-02-23,Japan,36,0,0,84,1
2022-02-23,Sweden,1,0,0,8,0
2022-02-24,Afghanistan,3,0,0,34,0
2022-02-24,Japan,36,0,0,84,1
2022-02-24,Sweden,1,0,0,8,0
2022-02-25,Afghanistan,3,0,0,34,0
2022-02-25,Japan,36,0,0,84,1
2022-02-25,Sweden,1,0,0,8,0
2022-02-26,Afghanistan,3,0,0,34,0
2022-02-26,Japan,36,0,0,84,1
2022-02-26,Sweden,1,0,0,8,0
2022-02-27,Afghanistan,3,0,0,34,0
2022-02-27,Japan,36,0,0,84,1
2022-02-27,Sweden,1,0,0,8,0
2022-02-28,Afghanistan,3,0,0,34,0
2022-02-28,Japan,36,0,0,84,1
2022-02-28,Sweden,1,0,0,8,0
2022-03-01,Afghanistan,3,0,0,34,0
2022-03-01,Japan,36,0,0,84,1
2022-03-01,Sweden,1,0,0,8,0
2022-03-02,Afghanistan,3,0,0,34,0
2022-03-02,Japan,36,0,0,84,1
2022-03-02,Sweden,1,0,0,8,0
2022-03-03,Afghanistan,3,0,0,34,0
2022-03-03,Japan,36,0,0,84,1
2022-03-03,Sweden,1,0,0,8,0
2022-03-04,Afghanistan,3,0,0,34,0
2022-03-04,Japan,36,0,0,84,1
2022-03-04,Sweden,1,0,0,8,0
2022-03-05,Afghanistan,3,0,0,34,0
2022-03-05,Japan,36,0,0,84,1
2022-03-05,Sweden,1,0,0,8,0
2022-03-06,Afghanistan,3,0,0,34,0
2022-03-06,Japan,36,0,0,84,1
2022-03-06,Sweden,1,0,0,8,0
2022-03-07,Afghanistan,3,0,0,34,0
2022-03-07,Japan,36,0,0,85,0
2022-03-07,Sweden,1,0,0,8,0
2022-03-08,Afghanistan,3,0,0,34,0
2022-03-08,Japan,36,0,0,85,0
2022-03-08,Sweden,1,0,0,8,0
2022-03-09,Afghanistan,3,0,0,34,0
2022-03-09,Japan,36,0,0,85,0
2022-03-09,Sweden,1,0,0,8,0
2022-03-10,Afghanistan,3,0,0,34,0
2022-03-10,Japan,36,0,0,85,0
2022-03-10,Sweden,1,0,0,8,0
2022-03-11,Afghanistan,3,0,0,34,0
2022-03-11,Japan,36,0,0,85,0
2022-03-11,Sweden,1,0,0,8,0
2022-03-12,Afghanistan,3,0,0,34,0
2022-03-12,Japan,36,0,0,85,0
2022-03-12,Sweden,1,0,0,8,0
2022-03-13,Afghanistan,3,1,0,33,0
2022-03-13,Japan,36,0,0,85,0
2022-03-13,Sweden,1,0,0,8,0
2022-03-14,Afghanistan,3,1,0,33,0
2022-03-14,Japan,36,0,0,85,0
2022-03-14,Sweden,1,0,0,8,0
2022-03-15,Afghanistan,3,1,0,33,0
2022-03-15,Japan,36,0,0,85,0
2022-03-15,Sweden,1,0,0,8,0
2022-03-16,Afghanistan,3,1,0,33,0
2022-03-16,Japan,36,0,0,85,0
2022-03-16,Sweden,1,0,0,8,0
2022-03-17,Afghanistan,3,1,0,33,0
2022-03-17,Japan,36,0,0,85,0
2022-03-17,Sweden,1,0,0,8,0
2022-03-18,Afghanistan,3,1,0,33,0
2022-03-18,Japan,36,0,0,85,0
2022-03-18,Sweden,1,0,0,8,0
2022-03-19,Afghanistan,3,1,0,33,0
2022-03-19,Japan,36,0,0,85,0
2022-03-19,Sweden,1,0,0,8,0
2022-03-20,Afghanistan,3,1,0,33,0
2022-03-20,Japan,36,0,0,85,0
2022-03-20,Sweden,1,0,0,8,0
2022-03-21,Afghanistan,3,1,0,33,0
2022-03-21,Japan,36,0,0,85,0
2022-03-21,Sweden,1,0,0,8,0
2022-03-22,Afghanistan,3,1,0,33,0
2022-03-22,Japan,36,0,0,85,0
2022-03-22,Sweden,1,0,0,8,0
2022-03-23,Afghanistan,3,1,0,33,0
2022-03-23,Japan,36,0,0,85,0
2022-03-23,Sweden,1,0,0,8,0
2022-03-24,Afghanistan,3,1,0,33,0
2022-03-24,Japan,36,0,0,85,0
2022-03-24,Sweden,1,0,0,8,0
2022-03-25,Afghanistan,3,1,0,33,0
2022-03-25,Japan,36,0,0,85,0
2022-03-25,Sweden,1,0,0,8,0
2022-03-26,Afghanistan,3,1,0,33,0
2022-03-26,Japan,36,0,0,85,0
2022-03-26,Sweden,1,0,0,8,0
2022-03-27,Afghanistan,3,1,0,33,0
2022-03-27,Japan,36,0,0,85,0
2022-03-27,Sweden,1,0,0,8,0
2022-03-28,Afghanistan,3,0,1,33,0
2022-03-28,Japan,36,0,0,85,0
2022-03-28,Sweden,1,0,0,8,0
2022-03-29,Afghanistan,3,0,1,33,0
2022-03-29,Japan,36,0,0,85,0
2022-03-29,Sweden,1,0,0,8,0
2022-03-30,Afghanistan,3,0,1,33,0
2022-03-30,Japan,36,0,0,85,0
2022-03-30,Sweden,1,0,0,8,0
2022-03-31,Afghanistan,3,0,1,33,0
2022-03-31,Japan,36,0,0,85,0
2022-03-31,Sweden,1,0,0,8,0
2022-04-01,Afghanistan,3,0,0,33,1
2022-04-01,Japan,36,0,0,85,0
2022-04-01,Sweden,1,0,0,8,0
2022-04-02,Afghanistan,3,0,0,33,1
2022-04-02,Japan,36,0,0,85,0
2022-04-02,Sweden,1,0,0,8,0
2022-04-03,Afghanistan,3,0,0,33,1
2022-04-03,Japan,36,0,0,85,0
2022-04-03,Sweden,1,0,0,8,0
2022-04-04,Afghanistan,3,0,0,33,1
2022-04-04,Japan,36,0,0,85,0
2022-04-04,Sweden,1,0,0,8,0
2022-04-05,Afghanistan,3,0,0,33,1
2022-04-05,Japan,36,0,0,85,0
2022-04-05,Sweden,1,0,0,8,0
2022-04-06,Afghanistan,3,0,0,33,1
2022-04-06,Japan,36,0,0,85,0
2022-04-06,Sweden,1,0,0,8,0
2022-04-07,Afghanistan,3,0,0,33,1
2022-04-07,Japan,36,0,0,85,0
2022-04-07,Sweden,1,0,0,8,0
2022-04-08,Afghanistan,3,0,0,33,1
2022-04-08,Japan,36,0,0,85,0
2022-04-08,Sweden,1,0,0,8,0
2022-04-09,Afghanistan,3,0,0,33,1
2022-04-09,Japan,36,0,0,85,0
2022-04-09,Sweden,1,0,0,8,0
2022-04-10,Afghanistan,3,0,0,33,1
2022-04-10,Japan,36,0,0,85,0
2022-04-10,Sweden,1,0,0,8,0
2022-04-11,Afghanistan,3,1,0,32,1
2022-04-11,Japan,36,1,0,84,0
2022-04-11,Sweden,1,0,0,8,0
2022-04-12,Afghanistan,3,2,0,31,1
2022-04-12,Japan,36,0,1,84,0
2022-04-12,Sweden,1,0,0,8,0
2022-04-13,Afghanistan,3,2,0,31,1
2022-04-13,Japan,36,0,1,84,0
2022-04-13,Sweden,1,0,0,8,0
2022-04-14,Afghanistan,3,2,0,31,1
2022-04-14,Japan,36,0,1,84,0
2022-04-14,Sweden,1,0,0,8,0
2022-04-15,Afghanistan,3,1,1,32,0
2022-04-15,Japan,36,1,1,83,0
2022-04-15,Sweden,1,0,0,8,0
2022-04-16,Afghanistan,3,2,1,31,0
2022-04-16,Japan,36,3,0,82,0
2022-04-16,Sweden,1,0,0,8,0
2022-04-17,Afghanistan,3,2,1,31,0
2022-04-17,Japan,36,4,0,81,0
2022-04-17,Sweden,1,0,0,8,0
2022-04-18,Afghanistan,3,2,1,31,0
2022-04-18,Japan,36,4,2,79,0
2022-04-18,Sweden,1,0,0,8,0
2022-04-19,Afghanistan,3,2,0,31,1
2022-04-19,Japan,36,1,6,78,0
2022-04-19,Sweden,1,0,0,8,0
2022-04-20,Afghanistan,3,1,1,31,1
2022-04-20,Japan,36,0,7,78,0
2022-04-20,Sweden,1,0,0,8,0
2022-04-21,Afghanistan,3,1,1,31,1
2022-04-21,Japan,36,2,7,76,0
2022-04-21,Sweden,1,0,0,8,0
2022-04-22,Afghanistan,3,1,1,31,1
2022-04-22,Japan,36,2,5,76,2
2022-04-22,Sweden,1,0,0,8,0
2022-04-23,Afghanistan,3,1,1,31,1
2022-04-23,Japan,36,1,2,78,4
2022-04-23,Sweden,1,1,0,7,0
2022-04-24,Afghanistan,3,0,1,31,2
2022-04-24,Japan,36,0,2,78,5
2022-04-24,Sweden,1,1,0,7,0
2022-04-25,Afghanistan,3,1,1,30,2
2022-04-25,Japan,36,1,2,77,5
2022-04-25,Sweden,1,1,0,7,0
2022-04-26,Afghanistan,3,2,1,29,2
2022-04-26,Japan,36,2,2,76,5
2022-04-26,Sweden,1,2,0,6,0
2022-04-27,Afghanistan,3,3,1,28,2
2022-04-27,Japan,36,3,1,75,6
2022-04-27,Sweden,1,2,0,6,0
2022-04-28,Afghanistan,3,2,1,28,3
2022-04-28,Japan,36,2,2,75,6
2022-04-28,Sweden,1,2,0,6,0
2022-04-29,Afghanistan,3,2,2,27,3
2022-04-29,Japan,36,5,2,72,6
2022-04-29,Sweden,1,2,0,6,0
2022-04-30,Afghanistan,3,3,2,26,3
2022-04-30,Japan,36,7,2,70,6
2022-04-30,Sweden,1,1,1,6,0
